id,name,contrast,range_min,range_max,avg
1805,Rock,NC,91,122.5,106.138888888889
1805,Rock,WC,183.7,207.3,195.473684210526
3357,Eli,NC,93.5,114.2,104.2
3357,Eli,WC,158.5,168.25,164.375
8396,Ilka,NC,59.2,88.8,73.72
8396,Ilka,WC,148.7,173.4,162.074074074074
43620,Pinta,NC,53.2,77,66.52
43620,Pinta,WC,133.4,160,146.545454545455
43703,Deker,NC,91.1,124.2,107.8
43703,Deker,WC,152.3,179.3,166.333333333333
48850,coco,NC,87,106,97.4761904761905
48850,coco,WC,149.1,162,155.304347826087
50221,H13F,NC,73.1,109,92.8928571428571
50221,H13F,WC,132.55,156.7,142.90625
51747,Peny,NC,97,112,103.433333333333
51747,Peny,WC,236.55,276,254.5
52604,Rufus,NC,90.6,138,119.013513513514
54798,Balti,NC,118.7,167.1,142.789473684211
54798,Balti,WC,236,289,265.666666666667
56365,Brutus,NC,57.1,82.7,70.1739130434783
57040,fum,NC,105.5,147.1,129.864406779661
57040,fum,WC,154.95,180,166.433333333333
57409,sebas,NC,103.3,127.7,115.357142857143
57409,sebas,WC,201,218.2,209.076923076923
57597,thor,NC,48,61,55.1724137931035
57597,thor,WC,141.9,178.1,158.166666666667
57797,carlota,NC,77,108.6,93.5555555555556
57797,carlota,WC,112.8,127.2,120
57860,Berta,NC,68,93.2,79.6470588235294
57916,buch,NC,76.3,86.5,81.2857142857143
57916,buch,WC,138.6,166,152.642857142857
57958,Pichi,NC,115.2,147,132.84
57958,Pichi,WC,199.6,237.2,222.172413793103
58396,Cid,NC,63.7,90,77.2285714285714
58396,Cid,WC,134.1,157,144.789473684211
58981,Ona,NC,75,112,94.9090909090909
58981,Ona,WC,120.8,151.6,135.882352941176
59164,Goldy,NC,77.2,93.6,84.4444444444445
59164,Goldy,WC,151.7,190.7,168.142857142857
59899,Nika,NC,67,95,80.6666666666667
59899,Nika,WC,98.15,133.85,111.416666666667
59911,Aretha,NC,57,75.1,67.1
59911,Aretha,WC,114.35,131.6,123.75
60083,newman,NC,87,125.5,102.230769230769
60083,newman,WC,137.5,168,154.666666666667
60608,Chico,NC,97.65,109,103.642857142857
60608,Chico,WC,155.4,170.8,161.411764705882
61528,Misho,NC,82.5,113.25,96.4444444444445
61528,Misho,WC,146.25,171.75,159.441176470588
61548,Guizmo,NC,57.8,76,67.2105263157895
61548,Guizmo,WC,128.9,156.1,141.789473684211
61596,Bowie,NC,86,113,98.1904761904762
61596,Bowie,WC,167.8,190.05,177.1
62285,Peque,NC,84.8,105.15,97.6111111111111
62285,Peque,WC,150.85,185.75,167.333333333333
62380,Hulk,NC,72.4,97.2,84.4705882352941
62380,Hulk,WC,193.8,213.9,201.105263157895
62563,Cobi,NC,65,93,79.9756097560976
64845,Bocuse,NC,80.8,101,92.8620689655172
65334,jager,NC,80,100.5,90
65382,esquitx,NC,53.5,89.25,71.5
65382,esquitx,WC,116,153.5,135.0625
66480,Django,NC,87.3,108.6,97.2
66480,Django,WC,138.8,178.7,158.6
66830,Neska,NC,80,99,88.0476190476191
66830,Neska,WC,167.8,217.05,194.8
67446,Osa,NC,80,107.3,96.8666666666667
67446,Osa,WC,126.7,145.6,134.666666666667
67448,Otto,NC,78,109,92.6666666666667
67976,Sam,NC,56.8,97.55,75.3928571428572
67976,Sam,WC,145.6,168.8,155.972972972973
67979,Danko,NC,75.25,105.95,92.4047619047619
67979,Danko,WC,154.8,180.1,166.85
68418,Golfo,NC,77,103.75,89.6388888888889
68492,Blue,NC,109.5,135,121.387096774194
68492,Blue,WC,184.4,213.3,200.066666666667
68719,Moh,NC,53,65.45,61.1666666666667
68719,Moh,WC,129.2,148.2,140.769230769231
68771,Duna,NC,94.5,110.5,102.833333333333
68771,Duna,WC,160.05,177.95,168.880952380952
69379,Kira,NC,76.5,110,96.6363636363636
69379,Kira,WC,151.4,171,161.434782608696
69455,Nacho,NC,71,86,76.6190476190476
69511,Ira,NC,69,97,86.5384615384615
69511,Ira,WC,163,176,168.666666666667
69531,Dylan,NC,103.4,125.6,117.931034482759
69531,Dylan,WC,183,193.8,187.758620689655
69573,Pruna,NC,77.5,95.5,85.875
69675,Uma,NC,87.8,111,97.0526315789474
69675,Uma,WC,143.5,171.75,160
69686,Kim,NC,73.5,90.5,81.125
69699,joe,NC,90.15,126.95,109.678571428571
69699,joe,WC,139.25,169,154.923076923077
69715,Bimba,NC,62.3,90.1,76.1578947368421
69715,Bimba,WC,190,225.3,209.315789473684
69731,Otto,NC,76.75,98.1,90.15
69737,Zen,NC,79.75,132.35,110.5625
69737,Zen,WC,148,178,165.774193548387
69861,Nana,NC,58.2,77,69.9130434782609
69861,Nana,WC,118,140,130.142857142857
69865,Bou,NC,92,118.8,105.76
69865,Bou,WC,126,158.55,141.133333333333
69939,layla,NC,65.8,83,75.5384615384615
69940,max,NC,77.3,99,90.7894736842105
69999,Aur,NC,70.1,71.9,71
69999,Aur,WC,114.5,133.25,121.833333333333
70138,poppy,NC,73.5,90.75,82.375
70138,poppy,WC,153.6,180,163.235294117647
70370,Fosc,NC,68.3,110.9,93.2608695652174
70370,Fosc,WC,121.5,162,144.153846153846
70458,Mercuri,NC,83.85,114.3,99.5526315789474
70492,Floy,NC,90,108,99
587052,Kira,NC,107,138,124.047619047619
587052,Kira,WC,197.1,232,216.521739130435
